City_ID,City,Latitude,Longitude,Max Temperature (°C),Humidity (%),Cloudiness (%),Wind Speed (MPH),Country,Date
402,Kavieng,-2.5744,150.7967,82.8,66,97,3.67,PG,1669755504
403,Mahajanga,-15.7167,46.3167,80.62,78,40,8.05,MG,1669755443
404,Zavyalovo,54.5053,82.4484,-6.97,87,100,1.66,RU,1669755504
405,Rocha,-34.4833,-54.3333,75.81,60,12,14.7,UY,1669755505
406,Cody,44.5263,-109.0565,13.41,76,98,1.01,US,1669755505
407,Avera,33.194,-82.5271,71.11,51,2,6.17,US,1669755505
408,Angarsk,52.5367,103.8864,7.52,91,100,12.88,RU,1669755505
409,Skagen,57.7209,10.5839,43.57,66,100,15.86,DK,1669755467
410,Shelburne,44.0787,-80.2041,37.76,85,100,12.84,CA,1669755506
411,Neiafu,-18.65,-173.9833,81.28,83,40,11.5,TO,1669755506
412,Mashhad,36.297,59.6062,42.94,81,0,4.61,IR,1669755468
413,Bestöbe,52.4994,73.0975,-3.26,81,100,11.32,KZ,1669755506
414,Burley,42.5357,-113.7928,27.3,63,41,11.99,US,1669755506
415,West Wendover,40.7391,-114.0733,29.89,40,17,3.09,US,1669755507
416,Ixtapa,20.7,-105.2,86.67,40,24,5.97,MX,1669755507
417,Sangar,63.9242,127.4739,-39.37,99,100,1.63,RU,1669755507
418,Akureyri,65.6835,-18.0878,30.13,80,0,2.3,IS,1669755507
419,Nishihara,26.1842,127.7558,74.48,88,100,19.57,JP,1669755507
420,Slavyanka,42.8633,131.3847,13.6,58,100,14.43,RU,1669755507
421,Aksarka,66.5606,67.7975,2.28,98,94,2.55,RU,1669755508
422,Phonhong,18.5007,102.4166,74.41,88,56,2.28,LA,1669755508
423,Jingdezhen,29.2947,117.2079,38.35,88,100,11.05,CN,1669755508
424,Petropavlovsk-Kamchatskiy,53.0452,158.6483,14.59,86,100,6.71,RU,1669755508
425,Ape,57.5393,26.6929,29.71,95,100,6.02,LV,1669755508
426,Yangambi,0.8102,24.4336,68.83,92,91,2.57,CD,1669755509
427,Yar-Sale,66.8333,70.8333,-0.02,100,95,2.64,RU,1669755509
428,Vinh,18.6667,105.6667,75.88,94,11,1.79,VN,1669755509
429,Kloulklubed,7.0419,134.2556,84.29,76,76,18.75,PW,1669755509
430,Erenhot,43.6475,111.9767,2.43,57,0,18.99,CN,1669755509
431,Vila Franca do Campo,37.7167,-25.4333,65.19,90,81,5.01,PT,1669755509
432,Bagenalstown,52.7003,-6.9618,47.41,90,100,4.76,IE,1669755510
433,Solnechnyy,50.7214,136.6319,4.19,97,100,1.57,RU,1669755510
434,Veranópolis,-28.9361,-51.5494,73.47,78,97,4.07,BR,1669755510
435,Abaeté,-19.16,-45.4458,78.55,55,61,6.53,BR,1669755510
436,Port Hedland,-20.3167,118.5667,78.85,89,100,0.0,AU,1669755510
437,Kashima,33.1061,130.0906,52.75,83,100,11.14,JP,1669755510
438,Hambantota,6.1241,81.1185,75.2,83,99,10.98,LK,1669755511
439,Taltal,-25.4,-70.4833,64.8,75,32,5.37,CL,1669755511
440,Iqaluit,63.7506,-68.5145,-15.07,70,20,18.41,CA,1669755511
441,Inírida,3.8653,-67.9239,80.37,84,83,4.27,CO,1669755511
